brand_name,pants_description,price
"Jacob Cohen","Men Slim Fit Mid-Rise Jeans",54000
"United Colors of Benetton","Men Relaxed Fit Mid-Rise Jeans",53062
"Jacob Cohen","Men Slim Fit Jeans",53062
"True Religion","Slim Fit Mid-Rise Jeans",51750
"Jacob Cohen","Men Jeans",51750
"Jacob Cohen","Mid-Rise Straight Fit Jeans",44625
"United Colors of Benetton","Men Slim Fit Mid-Rise Jeans",44625
Tramarossa,"Men Slim Fit Mid-Rise Jeans",43875
Tramarossa,"Men Jeans",43650
"United Colors of Benetton","Men Relaxed Fit Mid-Rise Jeans",43650
